Predimed,P36BPD01_2023,P36BPD02_2023,P36BPD03_2023,P36BPD04_2023,P36BPD05_2023,P36BPD06_2023,P36BPD07_2023,P36BPD08_2023,P36BPD09_2023,P36BPD10_2023,P36BPD11_2023,P36BPD12_2023,P36BPD13_2023,P36BPD14_2023
4.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0
6.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,1.0,2.0
,1.0,1.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,,1.0
1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,0.0,2.0
,1.0,,2.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,
7.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0
6.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0
3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0
9.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0
7.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,0.0,2.0
7.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0
6.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,1.0,2.0
5.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0
10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,2.0,1.0,1.0
,1.0,,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0
,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,,1.0
6.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0,1.0,1.0
,1.0,,2.0,2.0,1.0,1.0,1.0,3.0,1.0,,2.0,3.0,1.0,3.0
8.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0
5.0,0.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,3.0,0.0,2.0
9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0
12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0
4.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0
8.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,2.0
5.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0
5.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0
9.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0
3.0,1.0,3.0,2.0,3.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0
10.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0
1.0,0.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,3.0
7.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0,1.0,1.0
,1.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,,2.0,1.0,2.0,1.0,1.0
9.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,3.0
3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0
5.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0
,1.0,,1.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0
,1.0,,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0
13.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,1.0,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0
6.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0
5.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,0.0,2.0
9.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0
3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0
2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0
6.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,1.0,2.0
7.0,0.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0
4.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0
5.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0
,0.0,,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0
7.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0
,1.0,,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,3.0
3.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0
3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0
8.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0
2.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0
3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0
9.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,0.0,3.0
11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0
5.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0
4.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0
4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0
10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,0.0,1.0
,1.0,,2.0,3.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0
9.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0
3.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0
6.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,0.0,1.0
,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0
8.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,2.0
6.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0
11.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0
6.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0
,1.0,,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0
10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0
7.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0
8.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0
3.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0
7.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,1.0,1.0
6.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0
3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0
7.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0
8.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0
8.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0
8.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0
5.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0
5.0,0.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0
8.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0
6.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,1.0,2.0
9.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0
6.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,3.0,1.0,2.0
7.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0
7.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0
9.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,2.0
7.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0
5.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,0.0,2.0
5.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0
8.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0
8.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0
2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0
3.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0
1.0,0.0,3.0,4.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,0.0,2.0
7.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,0.0,2.0
7.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,1.0,1.0
5.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0
7.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0
6.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0
8.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0
3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,1.0,0.0,2.0
7.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,2.0
6.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,3.0,1.0,2.0
,1.0,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0
,1.0,,2.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0
7.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,3.0,1.0,1.0
6.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0
9.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0
7.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0
10.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0
8.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,3.0
10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,0.0,1.0
5.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0
7.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0
10.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
6.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0
8.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0
10.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0
6.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0
6.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,0.0,1.0
,1.0,,3.0,4.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0
6.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,3.0,1.0,1.0
4.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0
5.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0
,1.0,,2.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0
,1.0,,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0
7.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0
11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0
8.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0
6.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0
7.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,1.0,2.0
6.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0
8.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0
7.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,0.0,1.0
8.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0
6.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0
9.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0
7.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,3.0,1.0,1.0
6.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0
8.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0
,1.0,,2.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0
5.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0
10.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0
4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0
11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0
11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0
9.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0
7.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0
6.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0
3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0
10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0
8.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0
5.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,2.0
5.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0
4.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,0.0,1.0
7.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0
7.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0
8.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0
2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0
5.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0
4.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0
6.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,0.0,2.0
3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0
10.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0
6.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0
9.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,2.0
7.0,0.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0
9.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,3.0,1.0,1.0
8.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,0.0,1.0
6.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0
9.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0
3.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0
9.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0
,1.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,
5.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,3.0,1.0,2.0
5.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0
3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0
11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0
7.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0
7.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0
12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0
5.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0
5.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0
8.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,1.0,1.0
,0.0,,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0
3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0
6.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0
6.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0
10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0
7.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,1.0,1.0
8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,0.0,2.0
7.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0
6.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0
,1.0,,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0
7.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0
2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0
7.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,2.0
,1.0,,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0
7.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0
,1.0,,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0
8.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,0.0,1.0
6.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,0.0,1.0
3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0
3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0
10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0
6.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0
6.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,0.0,1.0
6.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,3.0,1.0,2.0
6.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0
1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0
9.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0
11.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0
5.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,2.0
7.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,3.0,1.0,1.0
5.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0
4.0,1.0,1.0,4.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0
7.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,3.0,1.0,1.0
8.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,3.0,1.0,1.0
9.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,2.0,0.0,1.0
6.0,1.0,2.0,4.0,4.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,2.0
2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,1.0,2.0
3.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0
12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0
7.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0
3.0,0.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0
4.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,2.0
2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0
